name,price,colors,plain_text_description,brand,height,color,material,base_type,weight,url
MKS Long Russian Design Tao Hookah - Rose Gold,"Rs. 5,499.00",N/A,"
 Specifications 
 

Color : Rose Gold
Height : 34+ inches (from surface)

 
 Scope of Delivery 
 

silicone chillum
heat management device
radium glass base
space for led light
metallic charcoal plate
down stem
upper stem
silicone pipe
metal handle
tong

 
 Material 
 

Stem : metal body
Base : radium glass pot
Bowl : silicone bowl
HMD : aluminum
Pipe : silicone pipe

Handle : metal handle

Tong : Aluminum

 
 Specifications 
 

Long new hookah with 34 inches height by Thugs
Radium glass base makes more elegant (put base in light first to see the magic)
The more your base kept in light the more it shines.
Back smoke exhales from pressure nob
Metallic long slim upper stem
Good metallic down stem

Metal coal plate for charcoal dust removal
Special space for LED is also given in the base
You can put small led below the base and made it more attractive (LED is not included in the box)
Silicone chillum and heat management device is included with it
Good quality silicone pipe, back tip with metal handle provided in the box
Long lasting and durable shisha with good performance

 
 Video 
 












View this post on Instagram























A post shared by Hookah Order Online @ shopdop® (@shopdop.in)

 
  
   
  
 ",,,,,,,https://shopdop.in/products/mks-long-russian-design-tao-hookah
Ferris Heat Management Device (HMD) for Hookah,Rs. 450.00,N/A,"
 
Aluminum made item
Most important hookah accessory
Alternate of foil paper
Designer shape cap
Easy to rotate charcoal
Can hold 3 coconut charcoal
Allow the good smoke flow
Good one time investment
Compatible with all types of bowls
 Why to get it? 

Accessory: Ferris HMD is a must have hookah accessory. It is the best alternative of foil paper.

Aluminum: This designer heat management system is made up of very fine quality aluminum.

Compatible: Ferris HMD is compatible with all types of hookah chillums or bowls. You can use it with phunnel as well.

Portable: A handy product which is easy to carry, wash and use. If you are a travel freak then you can invest in it. Best for outdoor shisha sessions.

Smoke: It allows a good smoke flow between them or chillum. You can generate heavy smoke by using Ferris.
 
 ",,,,,,,https://shopdop.in/products/ferris-heat-management-device-hmd-for-hookah
Bullet Russian Tao Hookah - X Function Technology,"Rs. 3,850.00",N/A,"
 What are its key features? 
Wide & strong glass base
Assembled easily
X Function Technology
Smoke exhales from the button attached to it
Medium size (decent height)
Free silicone chillum & heat management device
Silicone hose with a long handle
Essential grommets/components included
 Why it is best? 

Metal Stem: The upper stem is made of good quality metal. It is totally unique and looks attractive.

Diffuser:With the down stem you will get a diffuser also which enables you to produce more smoke.

Glass Base: Bullet carries a heavy and strong plain glass base which is convenient to use and carry.

Silicone Bowl: Yes, a free silicone bowl comes with Bullet X Function tao hookah.

HMD: An aluminum-made heat management device also comes with this model totally free.

Silicone Pipe: Long metal handle with a silicone pipe comes in the Bullet's box. 

Price: In this price range, this model is quite impressive.
 
 ",,,,,,,https://shopdop.in/products/bullet-russian-tao-hookah-x-function-technology
Metallic Cut Design Hookah Steel Tong / Chimti,Rs. 89.00,N/A,"
 

Material: Steel

Length: 8.5 inches
Easy to carry
High-quality material
Easy to use and handle
Medium size cut design
Protect hands against burns
Can absorb a good amount of heat
Lightweight accessory
 Metallic Cut Design Hookah Steel Tong is a medium-size shisha accessory that protects your hands against burn. With the help of this tong, you can pick or rotate your charcoals easily. 

Quality: This cut design charcoal tong is made up of high-quality steel material. The size of this tong is 8.5 inches. 

Heat Management: Metallic Cut Design Hookah Steel Tong can absorb a good amount of heat. It will protect your hands during coal rotation or picking up of coals from coal burners.

Lightweight & Portable: It is a very lightweight hookah tong. It can easily be fitted in your hookah box or bag for travel purposes.

Pin: You will get a pin at the back of this designer tong. This pin will help you to make small holes/punctures in foil.
 
 ",,,,,,,https://shopdop.in/products/metallic-cut-design-hookah-steel-tong-chimti
Hookah Mouth Tip Filter/Nozzle with Neck Band,Rs. 250.00,N/A,"
 
Premium hookah accessory
Easy to use, clean and carry
Hygenic product
Silicone pipe fitting back tip with front mouth tip
Compatible with all shisha hoses
Portable and durable accessory
Long neckband
Lightweight product
 Hookah Mouth Tip/Nozzle with Neck Band is one of the highest-selling and most demanding accessories available at our online store. 

Quality: The quality of this premium nozzle or mouth tip is very fine. During the time of Covid or pandemic, this personal nozzle is the best option for you.

Neckband: One of the key features of this hookah mouth tip is its long neckband. 

Compatible: This mouth tip can easily be fitted with any type of hookah hose/pipe.
 
 ",,,,,,,https://shopdop.in/products/hookah-mouth-tip-nozzle-with-neck-band
Fumo Hot Plate Hookah Charcoal Burner - 500 Watt,Rs. 999.00,N/A,"
 
Power - 500 Watt
LED On/Off button
Tray for holding coal
Portable accessory
Coin 304 Steel
Aluminum body with powder coating
Rectangular charcoal burner
Advanced and effective technology
Stylish as compared to other burners
1-meter long wire
 Why to grab it now? 

Portable: A portable hookah accessory which you can carry in your bag. Less in weight and height. Good for outdoor shisha sessions.

Advanced: Fumo hot plate is made with advanced coil technology which is very efficient. It consumes very less power.

Modern: Fumo hookah charcoal burner is designed in a rectangular form which looks stylish. It comes with an aluminum body, stainless steel coal holder, rubber handles on the side and an on/off indicator.

Tong: In the box, you will get a good quality tong as well which is free of cost.

Cooking Plate: This can be used as a cooking plate as well. 

Ignite: It ignites your coconut charcoal in 5-8 minutes. 
 
 ",,,,,,,https://shopdop.in/products/fumo-hot-plate-hookah-charcoal-burner-500-watt
Crown Ruler Hookah - 4 Hose Shisha,"Rs. 5,649.00","['Black', 'Golden', 'Blue', 'Silver', 'Red']","
 
Premium designer shisha
Long in size
4 hose compatible
High-quality pre-fixed diffuser
Silicone bowl and hmd
Long metal handle silicone pipe
Metallic upper stem and charcoal plate
Available in multiple colors
Order will be processed as per color availability
 
 






Crown Ruler is one of the innovative and highly trending hookah models in our collection. It is a 4 hose compatible shisha which offers huge smoke during the session.
Let's check out its other features:


Quality: The design and quality of Crown Ruler hookah are incredible. It carries out a heavy and strong fancy glass base. The size of this model is long.

4 Hose: One of the key features of this hookah is its 4 hose connectivity option. At once you can fit 4 hookah pipes in this hookah. Now you don't have to wait for your turn.

Silicone Bowl & HMD: With this premium model you will get a silicone chillum and HMD which offers a remarkable shisha session. every time.

Diffuser: Another key feature of Crown Ruler hookah is its diffuser inability. Now you can create more dense smoke from this one.

Silicone Pipe: In the box, you will get a sleek metal handle silicone pipe which gives smooth smoke flow.







 
 ",,,,,,,https://shopdop.in/products/crown-ruler-hookah-4-hose-shisha
Colored Metallic Hookah Charcoal Tong / Chimti,Rs. 109.00,N/A,"
 

Material: Steel

Length: 7 inches
Easy to carry anywhere
Easy to use and handle
Fully colored chimti
Can absorb a good amount of heat
Lightweight and Portable
Small size compatible shisha accessory
 
 ",,,,,,,https://shopdop.in/products/colored-metallic-hookah-charcoal-tong-chimti
Hookah Chillum Wind Cover (Jalli),Rs. 650.00,"['Star', 'Jalli', 'Lantern']","
 
Essential hookah supplies
Handmade in India
Wind Cover for any type of chillum/bowl
Protect body parts from heat
Must have accessory
Cover charcoal and pass the gases
Normal price range
 
 ",,,,,,,https://shopdop.in/products/hookah-chillum-wind-cover-jalli
Stylish Shark Mouth Steel Hookah Tong / Chimti,Rs. 79.00,N/A,"
 

Material: Steel

Length: 6.5 inches
Easy to carry
Easy to use and handle
Designer shark mouth shape
Can absorb a huge amount of heat
Lightweight accessory
Available in different colors
Order will be processed as per color availability
 
 ",,,,,,,https://shopdop.in/products/stylish-shark-mouth-steel-hookah-tong-chimti
Fumo Disposable Hookah Hose / Pipe,Rs. 70.00,N/A,"
 What are its main points? 

Brand: Fumo

Length: 1.5 metre
Lightweight accessory
Fit in any type of hookah
Use and throw product (easily washed also)
Long size handle
Available in multiple colors
Used in many cafes as well
 Why to use it? 

Lightweight: Fumo disposable pipes' weight is very low. You can comfortably carry and use it.

Portable: This disposable pipe can easily be fitted with any type of small, big, large, mini, tao hookah set.

Quality: A high-quality hose which does not retain any flavor from previous sessions.

Handle: Well-designed long handle comes with this disposable hose which is easy to grip.

Multi-Color: Fumo disposable pipes are available in multiple colors with different shades as you can see in images.
 
 ",,,,,,,https://shopdop.in/products/fumo-disposable-hookah-hose-pipe
Electric Hot Plate Hookah Charcoal Burner - 1500 Watt,Rs. 849.00,N/A,"
 

Power- 1500 Watts
Makes your coconut / brick charcoal instantly red
Don't wait much
Get good quality smoke
Multiple-purpose hot plate
Special coal burner
One extra coil in it
On/Off regulator
Light indicator
At once can ignite up to 12-15 coconut coals
Can be used as a cooking plate also
Best for the tour, trips and outdoor hookah sessions
 Premium electric charcoal burner which is also known as hot plate available here at a very genuine cost. The power of this coal burner is 1500watt.  

Qualities: The main and effective points of this new edition hot plate are its power which is 1500watt and one extra coil with the regular coil. Now you can ignite 12-15 coconut charcoals at once on this burner.

Multi Purpose: The next thing to note down about this coconut coal burner is that you can use it anywhere like it can be used as a cooking plate as well. 

Less Electricity: If you think that its power is high so it may consume more electricity then you are wrong. This special hot plate uses less electricity to ignite coals. There is an on or off regulator with it.

Portable: It is a portable hookah accessory which is easy to use and carry. Now you can easily carry this product tours and trips (outdoor sessions) also. Of course, electricity is required.
 
 ",,,,,,,https://shopdop.in/products/electric-hot-plate-hookah-charcoal-burner-1500-watt
COCOYAYA Charcoal Heater Coal Burner - 1000 Watt,"Rs. 1,349.00",N/A,"
 

Power: 1000watt

Brand: COCOYAYA
Premium coal burner/heater
Heat control knob
Round coating/coils
Multi purpose coal burner
3 pin plug with decent braided wire
Side handles for easy hold
Heavy material used to make this heater
Ignite coconut charcoal quickly
At once can ignite 10-12 cubic charcoal
 COCOYAYA recently launched its own charcoal heater in 1000watt power. Premium coal burner for coconut cubic charcoals.  

Qualities: One of the key features of the COCOYAYA coal burner is its round shape and look. The color of this heater is yellow. There is a special heat control knob in it with top quality coating.

Portable/Compact Size: Another useful point of this charcoal burner is its portability and compact design. Now you can easily carry it anywhere and enjoy a hookah sojourn.

Less Electricity: The power of COCOYAYA cooking plate is 1000watt. It consumes very less electricity and ignites coconut charcoals very quickly.

Multi Purpose: It is a multipurpose shisha accessory. You can use it as a cooking plate as well. At once you can ignite 10-12 coconut cubic charcoals.

Wire/Plug: It comes with a braided wire which has a decent length. Two side grip handles also come with it for better holdings. It has a 3 pin plug.
 
 ",,,,,,,https://shopdop.in/products/cocoyaya-charcoal-heater-coal-burner-1000-watt
Oduman N4 Midi Glass Hookah,"Rs. 8,800.00",N/A,"
 What are its main features? 
100% Original Product
Imported from Turkey
Handmade strong glass base
Stainless steel parts (all components)
Durable silicone hose with handle
Pressure valve for back smoke
Diffuser for dense smoke
Base LED light
Travel bag
 Why to get it? 

Design: Oduman N4 Midi model is bigger than N2 Travel and smaller than the N4 model.

Bag: For easy carrying, an N4 Midi comes with a travel bag. Carry anywhere and enjoy the shisha session.

Base: Mini design hookah comes with a portable handmade glass base. Thick glassware material is used to design its base.

LED: A special base LED light is available with it which makes it even more attractive.

Hose: Premium food grade quality silicone hose/pipe with handle (spring included).

Diffuser: Stainless steel down stem equipped with a diffuser enables you to produce more smoke.
 
 ",,,,,,,https://shopdop.in/products/oduman-n4-midi-glass-hookah-stainless-steel-body-parts
Oduman Smoke Tank Hookah,"Rs. 7,700.00",N/A,"
 What are its key features? 
 
100% Original
Imported from Turkey
Heavy handmade glass base
Travel bag for easy carrying
Stainless steel body components
Silicone hose with anodized black aluminum
Stainless steel down with an inbuilt diffuser
Pressure valve for back smoke
Provides a tremendous amount of smoke
 
 Check Out - What makes Oduman Hookah Unique and Different? 
 
 
 Why to get it? 
 

Base: Oduman Smoke Tank's glass base is of very good quality and totally handmade. It is quite heavy and strong.

Travel Bag: For easy carrying, Smoke Tank comes with a travel bag. Now you can enjoy this monster in the hills or on the beach as well.

Stainless Steel: All body components of Oduman Smoke Tank hookah like upper/down stem, diffuser, charcoal plate etc are made up of stainless steel.

Diffuser: For more dense smoke an inbuilt diffuser is given with it.

Hose: Food grade quality silicone pipe with anodized black aluminum handle is available in the box.

Portable: Oduman Smoke Tank is a portable model which is easy to carry and assemble/disassemble as well.
 
 ",,,,,,,https://shopdop.in/products/oduman-smoke-tank-hookah-with-travel-bag
Precut Hookah Aluminum Foil Paper (40pcs),Rs. 99.00,N/A,"
 

Size: 150mm X 140mm

Precut Papers: 40pcs
35 Micron extra thick aluminum foil
Easy to use
Precut foil pieces
Compatible with all types of hookah bowls/chillums
Save flavor from heat
Absorbs a good amount of heat
Designed for hookah use
Bigger in size as compared to other foils
Free pin inside
 
 ",,,,,,,https://shopdop.in/products/precut-hookah-aluminum-foil-paper-40pcs
Best Foil Puncher for Hookah Chillum,Rs. 60.00,N/A,"
 
Easy to use
Make perfect holes
Excellent quality puncher pins
Durable product
Made with high-grade material

ColorsAvailable: Black, Green, Yellow, Orange, Red and Blue.
Order will be processed as per color availability.
 Best Foil Puncher is one of the less costly products. It is a durable product, one can use it easily. Puncturing foil one by one takes a lot of time but you can easily make your foil ready in less time with this foil puncher. 

Holes:With Best Foil Puncher you can easily nail the proper hole in a single punch. The quality of the pins are very excellent and properly fixed.

Quality:This foil puncher is made with high-quality materials so you can use this product for a long time.
 
 ",,,,,,,https://shopdop.in/products/best-foil-puncher-for-hookah-chillum
Oduman N5Z Clear Hookah,"Rs. 16,500.00",N/A,"
 What are its key metrics? 
 
100% Original
Imported model by Oduman
First class handmade glass
Stainless steel body parts
Very fine quality diffuser
Stand for stability
LED light with batteries
Premium quality silicone hose
 
 https://www.instagram.com/p/CfV0EpxrbhX/ 
 Why to grab this model? 
 

Look: One of the main points about this Oduman N5-Z Clear hookah is its totally different look.

Base: The base of Oduman N5 Clear hookah is totally handmade glass.

Components: All body parts of N5 Clear hookah are made up of totally stainless steel material.

Diffuser: For dense smoke, it has a diffuser which creates more tiny bubbles and cloudy smoke..

LED Light: To make it more attractive a multicolor power LED light (with 16 operations) is given with it.

Hose: Fine quality silicone hose is available in the box.

Worth: Under Rs 20,000, this decorative model is worth it.
 
 ",,,,,,,https://shopdop.in/products/oduman-n5-z-clear-hookah
COCOYAYA Aluminium Foil Roll For Hookah - 24 Micron,Rs. 650.00,N/A,"
 

Wattage:500 W
24 Micron aluminum foil
Easy to use
Way thicker
Good heat distribution
Better than normal aluminum foils
Save flavor from heat
Absorbs huge amount of heat
 COCOYAYA Aluminum Foil Roll - 24 Micron now available on our platform also. It is a high-quality aluminum foil roll with many benefits. 

Quality: It is a premium quality aluminum foil roll which is specially designed for hookah use. If you compared it with household foil paper then it is very thick and bigger in size.

24 Micron: Hookah aluminum foil roll is 24-micron quality paper.

Compatible: This hookah aluminum foil roll is compatible with all types of shisha chillums. You can use just a single layer of this roll as per your bowl dimension and enjoy the smoking session.

Note: You must be 18 years or older to purchase this product.
 
 ",,,,,,,https://shopdop.in/products/cocoyaya-aluminium-foil-roll-for-hookah-24-micron
Oduman N5z Junior Clear Glass Hookah,"Rs. 7,000.00",N/A,"
 What are its key highlights? 
 
100% Original Product
Imported from Turkey
Junior version of N5-Z model
11"" metal stand for stability
Stainless steel down stem with inbuilt diffuser
Handmade transparent glass base
Easy to assemble & dissemble
Washable silicone hose with handle
Smooth smoke flow
 
 Check Out - What makes Oduman Hookah Unique and Different? 
 Why to purchase this model? 
 

Design: Oduman N5z Junior is the smaller version of the N5 Z Clear model.

Stand: For stability, an 11"" stand comes with this model which makes it totally different and eye-catching.

Base: Its curvy glass base is handmade. Just assembled it with its body parts, fill water, set bowl & charcoal and enjoy the session.

Diffuser: Oduman N5z Junior model comes with stainless steel down stem with a diffuser.

Hose: High quality silicone hose with a handle comes in the box. All body parts of Oduman N5z are washable.

Stem: Stainless stem down stem with a charcoal plate. For back smoke pressure valve is available.
 
 Video:- 
 












View this post on Instagram























A post shared by Hookah Order Online @ shopdop® (@shopdop.in)

 
  
   
 ",,,,,,,https://shopdop.in/products/oduman-n5z-junior-clear-glass-hookah
COCOYAYA Precut Aluminium Foil Paper for Hookah (50 Pcs),Rs. 60.00,N/A,"
 

Wattage:500 W
24 Micron thick foil
Easy to use
Precut foil pieces
Compatible with any hookah chillum
Good heat distribution
Save flavor from heat
Absorbs huge amount of heat
 
 ",,,,,,,https://shopdop.in/products/cocoyaya-precut-aluminium-foil-paper-for-hookah-50-pcs
Oduman N9 Tarantula Hookah,"Rs. 8,800.00",N/A,"
 
Made in Turkey
No residue smell after wash
Strong handmade glass base
Unique design
Premium stainless steel parts
Diffuser fitted down stem
Produce huge and dense smoke
100% original and genuine product

Components: Glass base, Stainless steel stem with diffuser, coal plate, high food grade silicone hookah pipe
 
 Oduman N9 Tarantula is one of the innovative and premium designer hookah which has all qualities to enhance your hookah smoking session. The spider shape and legs made this hookah attractive and unique. 
 

Quality: The parts of Oduman N9 Tarantula are made with stainless steel which increases the life of hookah.
 
 

Stem: The stem of this hookah is made with very high-quality material and you can also get a diffuser fitted in the down stem which helps to create a smooth smoke flow.

Glass Base: Oduman N9 Tarantula base is very solid and handmade which is the most premium thing about this hookah.

Pipe: You can get long handle premium food-grade silicone pipe which allows good smoke flow and produce dense smoke.

Dimensions:Total Length: 24cm Pipe length: 1.5m
 
 ",,,,,,,https://shopdop.in/products/oduman-n9-tarantula-spider-shape-with-stainless-steel-hookah
Nano Heat Manager (Best Alternative to Foil),Rs. 249.00,N/A,"
 

Material: Body (Stainless Steel), Handle (Steel with Wooden Grip)
No need for foil
Less charcoal rotation
Help to produce smooth flavorful smoke
Reduce ash and chemical gases that pass from charcoal
Long-lasting shisha session
Hold approx. 2 charcoal
Premium quality stainless steel product
 
 

Heat Flow: Nano HMD allows a good heat flow between charcoal and flavor so, you can get dense smoke. This HMD didn't allow charcoal heat to burn flavor which increases the life of flavor.

Qualities: Nano HMD reduces to ash and chemical gases pass from charcoal which is a good sign of smoother, cleaner, and flavorful smoke.

Compatibility: This HMD is compatible with every HMD fit-designed chillum. It can hold approximately 2 charcoal together.

Weight: 102 grams

Dimensions: Diameter: 2.3"" InchesHeight: 1.5"" InchesHandle Length: 1"" Inc

 
 ",,,,,,,https://shopdop.in/products/nano-heat-manager-best-alternative-to-foil
Oduman N8 Voyage Hookah,"Rs. 7,000.00",N/A,"
 
Made in Turkey
No residue smell after wash
Strong handmade glass base
Premium stainless steel parts
Diffuser fitted down stem
Pressure Valve
Water-resistant and shock absorbing carry bag
Produce huge and dense smoke
100% original and genuine product

Components:Glass base, Stainless steel stem with diffuser, coal plate, high food grade silicone hookah pipe, Oduman hookah carry bag
 
 Oduman N8 Voyage Hookah is one of the premium hookahs by Oduman which has many qualities to enhance your hookah smoking session. 
 

Quality: The parts of Oduman N8 Voyage Hookah are made with stainless steel which increases the life of the hookah. You can also say that this hookah has a long life.
 
 

Stem:The stem of this hookah is made with very high-quality material and you can also get a diffuser fitted in the down stem which helps to create a smooth smoke flow.

Glass Base: Oduman N2 Clear Hookah base is very solid and handmade which is the most premium thing about this hookah.

Pipe: You can get hold handle premium food-grade silicone pipe which allows good smoke flow and produce dense smoke.

Dimensions: Hookah Height: 18cm Pipe length: 1.5m
 
 ",,,,,,,https://shopdop.in/products/oduman-voyage-hookah
Basic Hookah Charcoal Tong / Chimti,Rs. 65.00,N/A,"
 
Material: Steel 

Length: 4'5"" Inches
Easy to use
Easy to clean or wash
Absorb huge amount of heat
Easy to handle burning charcoal
Light Weight
Pin for puncture foil
 
 Basic Hookah Charcoal Tong / Chimti is one of the most selling tongs in the market. You can easily handle burning charcoal and it has many unique qualities to reduce your effort during hookah smoking sessions. 
 

Quality: Basic Hookah Charcoal Tong is made with high-quality stainless steel material.

Heat Management: Stainless steel used to make this tong can absorb a huge amount of heat release from burning charcoal which protects your hand from heat.

Handling: This product is very easy to handle so, you can easily rotate your burning charcoal during the smoking session.

Pin:You can get a pin at the back of this tong so, you can easily puncture the foil.
 
 ",,,,,,,https://shopdop.in/products/basic-hookah-charcoal-tong-chimti
HMD 2.0 For Hookah - Heat Management System,Rs. 419.00,N/A,"
 
No need of foil
Premium quality aluminum material
Needs very less coal rotation
Can hold up to 3 charcoals (approx.)
Designer heat management device
Reduce chemical and ash which pass from charcoal
Helps in generate flavorful dense smoke
Compatible with any HMD fitted hookah bowl
 
 HMD 2.0 is an updated and latest version of the heat management system. It is made with premium quality aluminum and has many unique qualities to enlarge your hookah session. 
 

Heat Flow:HMD 2.0 delivers a very good heat flow between coal and flavor. It also extends the life of flavor and gives you a long-lasting dense smoke hookah session.

Qualities:2.0 HMD reduces ash, unsettle gases and chemical pass from charcoal which is a good sign of smoother and flavorful smoke.

Compatibility:It is compatible with every HMD fit-designed chillum. It can hold approximately 3 coals.
 
 ",,,,,,,https://shopdop.in/products/hmd-2-0-for-hookah-heat-management-system
Drama HMD for Hookah - Aluminum Device for Chillum,Rs. 250.00,N/A,"
 
Easy to handle
Get rid of foil
Need very little charcoal rotation
Reduce ash and chemical gases that pass from charcoal
Allow good heat flow b/w flavor and charcoal
Create nice gap b/w flavor & charcoal
Help to produce smooth and dense smoke
Increase the life of flavor
Long-lasting shisha session
Hold approx. 3 charcoal
Premium quality aluminum product
 
 ",,,,,,,https://shopdop.in/products/drama-hmd-for-hookah-aluminum-device-for-chillum
MYA Long Aluminium Handle Original Leather Coated Hookah Pipe / Hose,Rs. 750.00,N/A,"
 
Brand: MYA

Material: Pipe (Leather Coated), Handle (Aluminum), Grip (Fibre), Hookah Tip (Fibre)
Easy to clean and wash
Compatible with any kind of hookah
Lite weight pipe
Easy to handle and carry anywhere
Allow the good smoke flow
Available in multiple colors
Order will be processed according to color availability
 
 ",,,,,,,https://shopdop.in/products/mya-long-aluminium-handle-original-leather-coated-hookah-pipe-hose
COCOYAYA Basic Leather Coated Hookah Pipe / Hose,Rs. 350.00,N/A,"
 
Easy to clean and wash
No awful smell after wash
Compatible with any kind of hookah
Easy to handle and carry anywhere
Premium fiber coated long handle
High quality leather
Produce dense smoke
 
 COCOYAYA Basic Leather Coated Hookah Pipe is one of the most selling hookah pipe available here. 
 This pipe is special designed for good smoke flow which gives you a dense flavorful smoke. 
 

Handle: The handle of this pipe is made with premium quality fiber and foam material which is easy to grip.

Compatibility: COCOYAYA Basic Leather Coated Hookah Pipe is compatible with any kind of hookah.

Portability: High-quality pipe which is very easy to handle and carry anywhere.

No Awful Smell: You can clean or wash this pipe very easily and it didn’t allow previously used flavor smell to ruin your ongoing shisha session.
 
 ",,,,,,,https://shopdop.in/products/cocoyaya-basic-leather-coated-hookah-pipe-hose
MYA Hookah Small Fibre Pipe / Hose,Rs. 450.00,"['Sky Blue', 'Dark Blue', 'Green']","
 
Brand: MYA
Easy to clean and wash
Easy to handle and carry anywhere
No residue smell after wash
High-grade fibre long handle
Allow smooth smoke inhaling
Lite weight pipe
High-quality leather coated hookah pipe
 
 MYA Hookah Original Fibre Pipe is of the best pipe in MYA leather coated pipes. This pipe look very attractive and among all it allows a smooth inhaling. 
 

Handle: MYA Fibre pipe is especially known for its high-quality fibre handle which gives you a good grip.

Leather Pipe: The quality of MYA leather pipes are very famous worldwide. Premium quality leather is used in this pipe which makes this pipe a long term running product.

Portability: This pipe is very easy to handle and carry anywhere. So you can enjoy your shisha session anywhere with this pipe.

No Awful Smell: You can clean or wash this pipe very easily and it didn’t allow previously used flavor smell to ruin your ongoing shisha session.
 
 

Dimensions: Length: 72"" Inches

 
                      Handle Length: 6'5"" Inches 
 ",,,,,,,https://shopdop.in/products/mya-hookah-original-fibre-pipe-hose
Designer Long Handle Silicone Pipe,Rs. 649.00,N/A,"
 
Easy to clean and wash
Easy to handle
Compatible with any kind of hookah
Easy to handle and carry anywhere
Premium handle
Produce dense and frosty smoke
No residue smell after wash
Good smoke flow
High-quality silicone hookah pipe
 
 ",,,,,,,https://shopdop.in/products/designer-long-handle-silicone-pipe
Dual Pipe Extension for Shisha,Rs. 385.00,"['Blue', 'Brown', 'Golden', 'Red', 'Silver', 'Black']","
 
Easy to Clean and Wash
Easy to carry anywhere
Premium metal material

Easy to fit
No residue smell after wash
Provide balanced and dense smoke
Available in multiple colors
Order processed according on color availability
No pipe rubber included in it
 
 Shopdop introduces a high-quality premium Dual Pipe Extension and has many qualities to enhance your hookah smoking session. Now you don’t have to wait for your turn in shisha sessions, you can attach another pipe to hookah with the help of this extension. 
 

Quality: Dual Pipe Extension is made with a heavy metal material. So you don’t have to worry about any breakage or rusting problem, this quality makes it a long term product.

Compatibility: Dual Pipe Extension is compatible with many hookah and provides equal smoke.

Portability: You can easily take this extension anywhere and enjoy your shisha session anytime.

No Awful Smell: You can easily wash this dual-pipe extension and it doesn’t allow previously used flavor smell to ruin your ongoing hookah session.
 
 ",,,,,,,https://shopdop.in/products/dual-pipe-extension-for-shisha
"Grommets for Base, Hose and Chillum – (Combo Pack)",Rs. 129.00,N/A,"
 
Compatible with various hookahs
Prevents air leakage
Easy to fit
Easy to clean and wash
No residue smell after wash
High grade rubber silicone
Provide smooth dense smoke session
This pack contain 2 Base rubber, 2 Pipe rubber and 2 Chillum rubber


Note: Share your hookah model name in Notes while ordering grommets for best fitting
 
 Note*: Color of base rubber/grommet can be vary. 
 We all knew that grommets play a very important role in hookah smoking sessions and you always need extra pairs of these grommets that’s why we bring you a combo offer of these grommets. These grommets is made with high-grade rubber silicone which enhances your hookah smoking session. 
 

Compatibility: Grommets are compatible with various hookahs. Please mention your hookah model name in notes while ordering for best fitting.

Airtight: These Grommets made with high-grade rubber silicone which don’t allow any air leakage during your shisha session and helps to deliver exotic flavorful smoke.

No Awful Smell: You can easily wash and clean these grommet. After wash, these grommet rubber didn’t allow previously used flavor smell to ruin your ongoing smoking session.
 
 ",,,,,,,https://shopdop.in/products/grommets-for-base-hose-and-chillum-combo-pack
Metallic Charcoal Holder - Coal Tray,Rs. 179.00,N/A,"
 

Material:Metallic
Easy to carry anywhere
Easy to use
Can hold up-to 5 charcoals
Premium Quality Holder ( Heat management feature)
Tong not Included
Used Home and Hookah Lounge & Bar
 
 Charcoal holder is one of the best-selling product in hookah market. Now you don’t have to struggle with burning charcoal you can easily carry your charcoal with this coal holder. 
 

Qualities:This charcoal holder has heat management feature, basically it is made with high quality metallic material which doesn’t melt if you carry burning charcoal in it.

Portability:This product is easily portable and you can enjoy your hookah session anywhere.
 
 Capacity: This charcoal holder can hold up to 5 burning charcoal. 
 https://www.instagram.com/shopdop.in/guide/basic-charcoal-holder/17991175420917668/?igshid=MzRlODBiNWFlZA== 
 ",,,,,,,https://shopdop.in/products/metallic-charcoal-holder-coal-tray
Premium Stainless Steel Charcoal Holder,Rs. 289.00,N/A,"
 

Material:Stainless Steel
Easy to carry anywhere
Easy to use
Easy to handle burning charcoals
Can hold up-to 5 charcoals
Premium Quality Holder ( Heat management feature)
 Now you don’t have to struggle with burning charcoal during your shisha sessions because we bring a Premium Stainless Steel Charcoal Holder so, you can easily carry your burning charcoal. 

Qualities:This charcoal holder has a heat management feature, basically it is made with a high-quality stainless steel material that doesn’t melt while carrying burning charcoal in it.

Portability:This product is easily portable and you can enjoy your hookah session anywhere.

Capacity:This charcoal holder can hold up to 5 burning charcoal.
 
 ",,,,,,,https://shopdop.in/products/premium-stainless-steel-charcoal-holder
Oduman Hybrid Hookah – X Function Technology,"Rs. 12,500.00",N/A,,,,,,,,https://shopdop.in/products/oduman-hybrid-hookah-x-function-technology
